CustomerID,Frequency,Monetary,TotalQuantity,FirstPurchase,LastPurchase,Recency,TenureDays,Cluster,Segment
12346,1,77183.6,74215,2011-01-18 10:01:00,2011-01-18 10:01:00,326,0,2,Loyal Mid-Value
12347,7,4310.0,2458,2010-12-07 14:57:00,2011-12-07 15:52:00,2,365,0,Champions
12348,4,1437.24,2332,2010-12-16 19:09:00,2011-09-25 13:13:00,75,282,2,Loyal Mid-Value
12349,1,1457.55,630,2011-11-21 09:51:00,2011-11-21 09:51:00,19,0,3,New / Low Engagement
12350,1,294.40000000000003,196,2011-02-02 16:01:00,2011-02-02 16:01:00,310,0,1,At Risk / Lapsed
12352,7,1385.74,526,2011-02-16 12:33:00,2011-11-03 14:37:00,36,260,2,Loyal Mid-Value
12353,1,89.0,20,2011-05-19 17:47:00,2011-05-19 17:47:00,204,0,1,At Risk / Lapsed
12354,1,1079.4,530,2011-04-21 13:11:00,2011-04-21 13:11:00,232,0,1,At Risk / Lapsed
12355,1,459.40000000000003,240,2011-05-09 13:49:00,2011-05-09 13:49:00,214,0,1,At Risk / Lapsed
12356,3,2487.43,1573,2011-01-18 09:50:00,2011-11-17 08:40:00,23,302,2,Loyal Mid-Value
12357,1,6207.67,2708,2011-11-06 16:07:00,2011-11-06 16:07:00,33,0,2,Loyal Mid-Value
12358,2,928.0600000000001,242,2011-07-12 10:04:00,2011-12-08 10:26:00,2,149,3,New / Low Engagement
12359,4,6310.03,1609,2011-01-12 12:43:00,2011-10-13 12:47:00,58,274,2,Loyal Mid-Value
12360,3,2302.06,1156,2011-05-23 09:43:00,2011-10-18 15:22:00,52,148,2,Loyal Mid-Value
12361,1,174.9,90,2011-02-25 13:51:00,2011-02-25 13:51:00,287,0,1,At Risk / Lapsed
12362,10,4737.2300000000005,2197,2011-02-17 10:30:00,2011-12-06 15:40:00,3,292,0,Champions
12363,2,552.0,408,2011-04-11 13:29:00,2011-08-22 10:18:00,110,132,1,At Risk / Lapsed
12364,4,1208.1,1499,2011-08-19 15:24:00,2011-12-02 10:22:00,8,104,3,New / Low Engagement
12365,1,320.69,173,2011-02-21 13:51:00,2011-02-21 13:51:00,291,0,1,At Risk / Lapsed
12367,1,150.9,172,2011-12-05 16:48:00,2011-12-05 16:48:00,4,0,3,New / Low Engagement
12370,4,3421.94,2349,2010-12-14 12:58:00,2011-10-19 14:51:00,51,309,2,Loyal Mid-Value
